Name;Price;Марка;Размер;НТП;Тип;Способ производства;Артикул;Описание
Труба 40Г2 36 мм в Екатеринбурге;Договорная;40Г2;36;ГОСТ 21729-76;конструкционная;-;5360005283;Труба 40Г2 36 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 21729-76. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба ХН45Ю 95 мм в Екатеринбурге;Договорная;ХН45Ю;95;ГОСТ 21729-76;конструкционная;горячедеформированная;5360005284;Труба ХН45Ю 95 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 21729-76. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба Ст1 83 мм в Екатеринбурге;Договорная;Ст1;83;ГОСТ 8732-75;конструкционная;горячедеформированная;5360005285;Труба Ст1 83 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 1Х2М1 351 мм в Екатеринбурге;Договорная;1Х2М1;351;ГОСТ 8732-78;конструкционная;-;5360005286;Труба 1Х2М1 351 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-78. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 20ХГ2Ц 160,6 мм в Екатеринбурге;Договорная;20ХГ2Ц;160.6;ГОСТ 18482-79;конструкционная;горячедеформированная;5360005287;Труба 20ХГ2Ц 160,6 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба Инконель 625 2500 мм в Екатеринбурге;Договорная;Инконель 625;2500;ГОСТ 8734-75;жаропрочная;горячедеформированная;5360005288;Труба Инконель 625 2500 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 50ХГФА 440 мм в Екатеринбурге;Договорная;50ХГФА;440;ГОСТ 8734;конструкционная;горячедеформированная;5360005289;Труба 50ХГФА 440 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба У8А 83 мм в Екатеринбурге;Договорная;У8А;83;ГОСТ 18482-79;конструкционная;-;5360005290;Труба У8А 83 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 60Г 14 мм в Екатеринбурге;Договорная;60Г;14;ГОСТ 18482-79;конструкционная;горячедеформированная;5360005291;Труба 60Г 14 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 1Х2М1 68 мм в Екатеринбурге;Договорная;1Х2М1;68;ГОСТ 8734-75;конструкционная;горячедеформированная;5360005292;Труба 1Х2М1 68 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба У8А 22 мм в Екатеринбурге;Договорная;У8А;22;ГОСТ 8732-75;конструкционная;горячедеформированная;5360005293;Труба У8А 22 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 50ХГ 9,3 мм в Екатеринбурге;Договорная;50ХГ;9.3;ГОСТ 9941-81;конструкционная;горячедеформированная;5360005294;Труба 50ХГ 9,3 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 9941-81. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 20Х 30 мм в Екатеринбурге;Договорная;20Х;30;ГОСТ 18482-79;конструкционная;горячедеформированная;5360005295;Труба 20Х 30 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 30Х3МФ 108 мм в Екатеринбурге;Договорная;30Х3МФ;108;ГОСТ 18482-79;конструкционная;горячедеформированная;5360005296;Труба 30Х3МФ 108 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 10пс 127 мм в Екатеринбурге;Договорная;10пс;127;ГОСТ 9941-81;конструкционная;горячедеформированная;5360005297;Труба 10пс 127 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 9941-81. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба ХГС 24 мм в Екатеринбурге;Договорная;ХГС;24;ГОСТ 18482-79;конструкционная;горячедеформированная;5360005298;Труба ХГС 24 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 12ХН3А 54 мм в Екатеринбурге;Договорная;12ХН3А;54;ГОСТ 9941-81;конструкционная;горячедеформированная;5360005299;Труба 12ХН3А 54 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 9941-81. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 08Х18Н10Т 820 мм в Екатеринбурге;Договорная;08Х18Н10Т;820;ГОСТ 8732-78;конструкционная;горячедеформированная;5360005300;Труба 08Х18Н10Т 820 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-78. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 12ХМ 152 мм в Екатеринбурге;Договорная;12ХМ;152;ГОСТ 8734-75;конструкционная;горячедеформированная;5360005301;Труба 12ХМ 152 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 12ХМ 194 мм в Екатеринбурге;Договорная;12ХМ;194;ГОСТ 18482-79;конструкционная;горячедеформированная;5360005302;Труба 12ХМ 194 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 10Х17Н13М2Т 820 мм в Екатеринбурге;Договорная;10Х17Н13М2Т;820;ГОСТ 21729-76;конструкционная;горячедеформированная;5360005303;Труба 10Х17Н13М2Т 820 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 21729-76. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 09Х16Н4Б 70 мм в Екатеринбурге;Договорная;09Х16Н4Б;70;ГОСТ 18482-79;конструкционная;горячедеформированная;5360005304;Труба 09Х16Н4Б 70 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба сталь 58 70 мм в Екатеринбурге;Договорная;сталь 58;70;ГОСТ 8732-75;конструкционная;горячедеформированная;5360005305;Труба сталь 58 70 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 20Х13 54 мм в Екатеринбурге;Договорная;20Х13;54;ГОСТ 9941-81;конструкционная;горячедеформированная;5360005306;Труба 20Х13 54 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 9941-81. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба сталь 3 426 мм в Екатеринбурге;Договорная;сталь 3;426;ГОСТ 21729-76;конструкционная;-;5360005307;Труба сталь 3 426 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 21729-76. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 30ХГСН2А 146 мм в Екатеринбурге;Договорная;30ХГСН2А;146;ГОСТ 18482-79;конструкционная;горячедеформированная;5360005308;Труба 30ХГСН2А 146 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 15Х5М 42 мм в Екатеринбурге;Договорная;15Х5М;42;ГОСТ 8732-75;конструкционная;-;5360005309;Труба 15Х5М 42 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 12Х13 48 мм в Екатеринбурге;Договорная;12Х13;48;ГОСТ 18482-79;конструкционная;горячедеформированная;5360005310;Труба 12Х13 48 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 18ХГТ 70 мм в Екатеринбурге;Договорная;18ХГТ;70;ГОСТ 9941-81;конструкционная;горячедеформированная;5360005311;Труба 18ХГТ 70 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 9941-81. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 10ХСНД 60 мм в Екатеринбурге;Договорная;10ХСНД;60;ГОСТ 21729-76;конструкционная;горячедеформированная;5360005312;Труба 10ХСНД 60 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 21729-76. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 10пс 720 мм в Екатеринбурге;Договорная;10пс;720;ГОСТ 8732-78;конструкционная;горячедеформированная;5360005313;Труба 10пс 720 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-78. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 12Х18Н10Т 68 мм в Екатеринбурге;Договорная;12Х18Н10Т;68;ГОСТ 8732-78;конструкционная;горячедеформированная;5360005314;Труба 12Х18Н10Т 68 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-78. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 13Х11Н2В2МФ 410 мм в Екатеринбурге;Договорная;13Х11Н2В2МФ;410;ГОСТ 9941-81;жаропрочная;-;5360005315;Труба 13Х11Н2В2МФ 410 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 9941-81. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба сталь 85 194 мм в Екатеринбурге;Договорная;сталь 85;194;ГОСТ 8732-75;конструкционная;-;5360005316;Труба сталь 85 194 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба сталь 50 6 мм в Екатеринбурге;Договорная;сталь 50;6;ГОСТ 8732-78;конструкционная;горячедеформированная;5360005317;Труба сталь 50 6 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-78. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 03Х19Г10Н7М2 1420 мм в Екатеринбурге;Договорная;03Х19Г10Н7М2;1420;ГОСТ 18482-79;конструкционная;-;5360005318;Труба 03Х19Г10Н7М2 1420 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 15ХГН2ТА 12,6 мм в Екатеринбурге;Договорная;15ХГН2ТА;12.6;ГОСТ 21729-76;конструкционная;горячедеформированная;5360005319;Труба 15ХГН2ТА 12,6 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 21729-76. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 08Х17Н13М2Т 63 мм в Екатеринбурге;Договорная;08Х17Н13М2Т;63;ГОСТ 8732-75;конструкционная;-;5360005320;Труба 08Х17Н13М2Т 63 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 10Г2С1Д 24 мм в Екатеринбурге;Договорная;10Г2С1Д;24;ГОСТ 21729-76;конструкционная;горячедеформированная;5360005321;Труба 10Г2С1Д 24 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 21729-76. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 35Г 166 мм в Екатеринбурге;Договорная;35Г;166;ГОСТ 9941-81;конструкционная;горячедеформированная;5360005322;Труба 35Г 166 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 9941-81. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 20ХН2М 320 мм в Екатеринбурге;Договорная;20ХН2М;320;ГОСТ 9941-81;конструкционная;горячедеформированная;5360005323;Труба 20ХН2М 320 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 9941-81. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 9Х2 16 мм в Екатеринбурге;Договорная;9Х2;16;ГОСТ 9941-81;конструкционная;горячедеформированная;5360005324;Труба 9Х2 16 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 9941-81. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба ПТ-7М 820 мм в Екатеринбурге;Договорная;ПТ-7М;820;ГОСТ 8734;конструкционная;-;5360005325;Труба ПТ-7М 820 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба ПТ-7М 75 мм в Екатеринбурге;Договорная;ПТ-7М;75;ГОСТ 8732-78;конструкционная;горячедеформированная;5360005326;Труба ПТ-7М 75 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-78. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 20Х23Н13 168 мм в Екатеринбурге;Договорная;20Х23Н13;168;ГОСТ 21729-76;конструкционная;-;5360005327;Труба 20Х23Н13 168 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 21729-76. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 20К 80 мм в Екатеринбурге;Договорная;20К;80;ГОСТ 18482-79;конструкционная;горячедеформированная;5360005328;Труба 20К 80 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 14ХГС 20 мм в Екатеринбурге;Договорная;14ХГС;20;ГОСТ 8732-75;конструкционная;-;5360005329;Труба 14ХГС 20 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 15ХМ 14 мм в Екатеринбурге;Договорная;15ХМ;14;ГОСТ 18482-79;конструкционная;-;5360005330;Труба 15ХМ 14 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 10Х23Н18 127 мм в Екатеринбурге;Договорная;10Х23Н18;127;ГОСТ 8734-75;конструкционная;горячедеформированная;5360005331;Труба 10Х23Н18 127 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 65Г 24 мм в Екатеринбурге;Договорная;65Г;24;ГОСТ 8734-75;конструкционная;горячедеформированная;5360005332;Труба 65Г 24 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба сталь 20 65х5 мм в Екатеринбурге;Договорная;сталь 20;65х5;ГОСТ 8732-78;конструкционная;-;5360005333;Труба сталь 20 65х5 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-78. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба сталь 70 24 мм в Екатеринбурге;Договорная;сталь 70;24;ГОСТ 9941-81;конструкционная;-;5360005334;Труба сталь 70 24 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 9941-81. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 29НК 1020 мм в Екатеринбурге;Договорная;29НК;1020;ГОСТ 8734;конструкционная;горячедеформированная;5360005335;Труба 29НК 1020 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 12Х18Н9 121 мм в Екатеринбурге;Договорная;12Х18Н9;121;ГОСТ 18482-79;конструкционная;горячедеформированная;5360005336;Труба 12Х18Н9 121 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба ХГС 38 мм в Екатеринбурге;Договорная;ХГС;38;ГОСТ 8734-75;конструкционная;-;5360005337;Труба ХГС 38 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 32Г2Рпс 182 мм в Екатеринбурге;Договорная;32Г2Рпс;182;ГОСТ 8732-78;конструкционная;горячедеформированная;5360005338;Труба 32Г2Рпс 182 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-78. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 25Г 83 мм в Екатеринбурге;Договорная;25Г;83;ГОСТ 8732-75;конструкционная;горячедеформированная;5360005339;Труба 25Г 83 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 18Г2С 350 мм в Екатеринбурге;Договорная;18Г2С;350;ГОСТ 18482-79;конструкционная;горячедеформированная;5360005340;Труба 18Г2С 350 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 40Х 325 мм в Екатеринбурге;Договорная;40Х;325;ГОСТ 8732-78;конструкционная;горячедеформированная;5360005341;Труба 40Х 325 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-78. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 13ХФА 273 мм в Екатеринбурге;Договорная;13ХФА;273;ГОСТ 18482-79;конструкционная;горячедеформированная;5360005342;Труба 13ХФА 273 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 60Г 75 мм в Екатеринбурге;Договорная;60Г;75;ГОСТ 9941-81;конструкционная;горячедеформированная;5360005343;Труба 60Г 75 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 9941-81. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 08Х17Т 180 мм в Екатеринбурге;Договорная;08Х17Т;180;ГОСТ 8732-78;конструкционная;горячедеформированная;5360005344;Труба 08Х17Т 180 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-78. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 68А 162 мм в Екатеринбурге;Договорная;68А;162;ГОСТ 8732-75;конструкционная;-;5360005345;Труба 68А 162 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 38Х2Н3М 6,2 мм в Екатеринбурге;Договорная;38Х2Н3М;6.2;ГОСТ 8734;конструкционная;-;5360005346;Труба 38Х2Н3М 6,2 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 12Х13 152 мм в Екатеринбурге;Договорная;12Х13;152;ГОСТ 18482-79;конструкционная;горячедеформированная;5360005347;Труба 12Х13 152 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 10Х17Н13М2Т 146 мм в Екатеринбурге;Договорная;10Х17Н13М2Т;146;ГОСТ 21729-76;конструкционная;горячедеформированная;5360005348;Труба 10Х17Н13М2Т 146 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 21729-76. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 20Х23Н18 54 мм в Екатеринбурге;Договорная;20Х23Н18;54;ГОСТ 21729-76;конструкционная;горячедеформированная;5360005349;Труба 20Х23Н18 54 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 21729-76. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 40Х 108 мм в Екатеринбурге;Договорная;40Х;108;ГОСТ 8734-75;конструкционная;горячедеформированная;5360005350;Труба 40Х 108 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
